at_btc,sum_100,sum_500
25000,5011,24979
50000,5411,25411
75000,7436,27436
100000,8986,28986
125000,9586,29586
150000,10607,30607
175000,11605,31605
200000,14255,34255
225000,14755,34755
250000,17055,37055
275000,17405,37405
300000,19555,39555
325000,21555,41555
350000,22755,42755
375000,23505,43505
400000,26605,46605
425000,27755,47755
450000,29155,49155
475000,31755,51755
500000,32605,52605
525000,32605,52605
550000,33255,53255
575000,33287,53287
600000,39387,59387
625000,40137,60137
650000,41137,61137
675000,43786,63786
700000,43786,63786
725000,43887,63887
750000,44387,64387
775000,44387,64387
800000,47387,67387
825000,47387,67387
850000,47387,67387
875000,47387,67387
900000,50462,70462
925000,51537,71537
950000,51637,71637
975000,51637,71637
1000000,57637,77637
1025000,57687,77687
1050000,63187,83187
1075000,63187,83187
1100000,65786,85786
1125000,67136,87136
1150000,67137,87137
1175000,74537,94537
1200000,78787,98787
1225000,79937,99937
1250000,83537,103537
1275000,92837,112837
1300000,96687,116687
1325000,100737,120737
1350000,103737,123737
1375000,103737,123737
1400000,107737,127737
1425000,107737,127737
1450000,116733,136733
1475000,121970,141970
1500000,139274,159274
1525000,139448,159448
1550000,139448,159448
1575000,139448,159448
1600000,139648,159648
1625000,139648,159648
1650000,139648,159648
1675000,143672,163672
1700000,143672,163672
1725000,154421,174421
1750000,155022,175022
1775000,155223,175223
1800000,155575,175575
1825000,158473,178473
1850000,161073,181073
1875000,164373,184373
1900000,165873,185873
1925000,180091,200091
1950000,181841,201841
1975000,238641,258641
2000000,244141,264141
2025000,255123,275123
2050000,257787,277787
2075000,259487,279487
2100000,279539,299539
2125000,284889,304889
2150000,293139,313139
2175000,301839,321839
2200000,326589,346589
2225000,349375,369375
2250000,354575,374575
2275000,356875,376875
2300000,368771,388771
2325000,373983,393983
2350000,379113,399113
2375000,400787,420787
2400000,404587,424587
2425000,407661,427661
2450000,412764,432764
2475000,428077,448101
2500000,444102,464882
2525000,456493,477153
2550000,462203,484327
2575000,503293,527078
2600000,518886,545246
2625000,533373,562065
2650000,540312,572558
2675000,549349,585147
2700000,556307,591597
2725000,568112,606402
2750000,592123,631214
2775000,612251,654709
2800000,631090,673015
2825000,647124,688880
2850000,656392,699134
2875000,668107,712050
2900000,678974,725939
2925000,686781,735416
2950000,693865,744334
2975000,704886,757789
3000000,728611,777169
3025000,744356,789575
3050000,756786,802938
3075000,762913,811427
3100000,787639,825474
3125000,795343,834745
3150000,799393,843150
3175000,810746,858742
3200000,827925,880641
3225000,844132,900573
3250000,851685,914265
3275000,860611,929553
3300000,858155,929666
3325000,857984,931522
3350000,855277,935477
3375000,859530,943070
3400000,869313,960526
3425000,874094,967413
3450000,888879,998659
3475000,891349,1017850
3500000,896371,1030912
3525000,895817,1047190
3550000,933927,1086218
3575000,939778,1100899
3600000,944090,1113789
3625000,947703,1127822
3650000,954377,1144660
3675000,964902,1163727
3700000,976187,1178542
3725000,980587,1192688
3750000,999344,1207887
3775000,1004980,1227040
3800000,1007603,1242290
3825000,1014011,1257401
3850000,1018161,1269590
3875000,1022434,1288738
3900000,1026580,1301707
3925000,1034488,1319622
3950000,1037628,1333173
3975000,1038579,1350634
4000000,1038742,1367540
4025000,1072666,1409008
4050000,1089266,1427382
4075000,1094865,1443735
4100000,1110945,1457340
4125000,1139346,1492103
4150000,1190067,1558483
4175000,1209074,1578743
4200000,1236212,1602035
4225000,1270673,1631213
4250000,1279276,1657699
4275000,1291051,1672963
4300000,1308125,1693352
4325000,1315883,1706223
4350000,1323937,1724198
4375000,1332452,1735280
4400000,1351213,1755445
4425000,1348740,1775062
4450000,1359310,1791814
4475000,1363540,1800403
4500000,1376422,1822061
4525000,1380992,1838184
4550000,1413871,1884126
4575000,1412271,1891518
4600000,1417866,1914074
4625000,1426477,1928791
4650000,1435526,1937776
4675000,1444521,1953879
4700000,1461131,1972074
4725000,1465813,1982361
4750000,1492127,2011290
4775000,1521941,2037897
4800000,1520521,2045755
4825000,1525427,2058278
4850000,1533497,2068060
4875000,1549808,2099594
4900000,1551998,2110738
4925000,1547209,2122058
4950000,1547280,2137329
4975000,1551961,2145446
5000000,1552361,2161703
5025000,1547500,2170927
5050000,1550757,2191079
5075000,1554817,2211725
5100000,1558875,2221355
5125000,1566655,2237867
5150000,1575339,2270586
5175000,1586388,2291153
5200000,1586324,2315505
5225000,1602658,2330760
5250000,1749974,2388304
5275000,1754330,2396845
5300000,1759449,2431580
5325000,1759060,2450267
5350000,1768461,2457900
5375000,1779057,2471677
5400000,1776639,2488930
5425000,1780758,2509714
5450000,1782869,2519946
5475000,1789658,2536873
5500000,1785942,2547316
5525000,1787469,2563237
5550000,1821727,2582496
5575000,1682710,2568652
5600000,1683889,2574744
5625000,1695664,2595227
5650000,1693515,2608091
5675000,1673257,2608689
5700000,1688080,2641279
5725000,1697778,2657225
5750000,1696880,2661097
5775000,1693688,2664275
5800000,1689843,2668151
5825000,1681560,2671834
5850000,1681074,2681229
5875000,1679747,2683387
5900000,1677843,2694388
5925000,1707782,2715290
5950000,1687696,2710585
5975000,1747213,2746990
6000000,1724030,2731384
6025000,1720367,2733144
6050000,1701562,2736951
6075000,1776413,2782400
6100000,1798531,2811097
6125000,1789207,2814956
6150000,1785023,2819192
6175000,1821948,2846914
6200000,1848648,2871046
6225000,1885471,2899159
6250000,1898847,2911506
6275000,1887940,2913459
6300000,1929320,2951285
6325000,1926539,2950752
6350000,1927066,2955797
6375000,1941202,2965003
6400000,1951750,2976933
6425000,1969568,3001993
6450000,1975305,3001522
6475000,1908475,2972546
6500000,1892922,2964290
6525000,2036669,3076598
6550000,2011118,3089937
6575000,1982630,3079501
6600000,2026770,3133966
6625000,2024613,3133440
6650000,2070831,3151993
6675000,2039175,3119434
6700000,2017097,3099437
6725000,2021193,3114807
6750000,2023390,3119802
6775000,2022768,3120228
6800000,2015804,3106060
6825000,2014796,3102313
6850000,2032889,3133808
6875000,2024735,3132682
6900000,2022369,3134825
6925000,2014887,3139403
6950000,2001861,3145671
6975000,1993674,3145987
7000000,2040385,3192687
7025000,2058039,3219402
7050000,2049720,3212232
7075000,2078355,3244240
7100000,2078800,3246731
7125000,2088954,3251688
7150000,2076628,3282106
7175000,2079320,3283136
7200000,2079620,3310745
7225000,2112599,3336489
7250000,2201130,3383280
7275000,2209334,3402180
7300000,2209379,3397805
7325000,2241008,3418753
7350000,2233344,3413676
7375000,2234395,3407070
7400000,2234995,3412906
7425000,2242917,3435846
7450000,2241091,3427703
7475000,2242763,3425355
7500000,2234295,3425088
7525000,2232032,3427028
7550000,2232226,3435442
7575000,2252307,3455560
7600000,2263071,3471050
7625000,2253376,3467567
7650000,2251634,3476164
7675000,2252702,3472184
7700000,2252638,3479238
7725000,2241895,3463369
7750000,2241254,3451613
7775000,2271537,3474403
7800000,2262469,3468224
7825000,2247524,3463051
7850000,1841787,3144002
7875000,1813478,3031238
7900000,1812669,3033829
7925000,1844176,3085646
7950000,1842244,3095525
7975000,1840771,3099914
8000000,1840518,3107223
8025000,1841711,3101260
8050000,1841730,3094148
8075000,1874131,3142313
8100000,1878092,3140439
8125000,1883923,3142537
8150000,1915030,3163470
8175000,1922191,3182018
8200000,1926871,3204360
8225000,1937024,3221345
8250000,1942813,3240608
8275000,1954753,3266884
8300000,1953827,3267825
8325000,1947608,3266894
8350000,1911258,3212595
8375000,1892390,3183440
8400000,1898764,3177621
8425000,1941277,3221298
8450000,1953136,3236734
8475000,1940613,3240152
8500000,1943073,3234989
8525000,1943663,3238698
8550000,1941463,3241057
8575000,1958355,3255319
8600000,1960266,3259280
8625000,1961700,3255879
8650000,1998712,3297938
8675000,2007177,3299905
8700000,2015205,3308386
8725000,2067572,3364322
8750000,2030676,3348581
8775000,2035481,3345780
8800000,2067853,3386982
8825000,2115826,3449731
8850000,2129703,3496995
8875000,2131315,3518362
8900000,2117510,3496622
8925000,2117072,3511523
8950000,2175919,3604867
8975000,2194100,3620529
9000000,2228360,3663928
9025000,2255179,3694828
9050000,2278021,3720883
9075000,2323161,3759392
9100000,2330868,3772644
9125000,2262278,3710802
9150000,2271611,3695535
9175000,2265961,3702929
9200000,2297376,3765649
9225000,2308004,3765868
9250000,2295767,3756688
9275000,2307171,3762617
9300000,2320097,3787833
9325000,2313307,3799325
9350000,2330783,3817768
9375000,2328680,3823827
9400000,2348771,3846990
9425000,2346843,3838764
9450000,2380635,3890395
9475000,2359767,3859980
9500000,2354183,3854101
9525000,2354110,3856272
9550000,2362230,3870461
9575000,2373858,3897455
9600000,2371935,3876958
9625000,2368541,3898798
9650000,2372045,3887464
9675000,2357820,3892288
9700000,2357529,3880250
9725000,2360808,3859465
9750000,2277836,3761369
9775000,2227323,3705140
9800000,2193588,3665017
9825000,2155994,3635797
9850000,2123487,3600079
9875000,2090631,3556268
9900000,2060333,3539312
9925000,2011035,3492823
9950000,1961691,3464282
9975000,1930208,3418870
10000000,1929732,3426306
10025000,1907342,3405079
10050000,1909057,3408474
10075000,1911980,3417944
10100000,1925536,3454425
10125000,1911946,3456950
10150000,1925069,3475189
10175000,1926953,3472178
10200000,1941830,3510941
10225000,2000039,3573517
10250000,1995107,3591206
10275000,1996418,3592566
10300000,2021842,3653578
10325000,2025033,3660629
10350000,2020368,3646627
10375000,2026545,3648700
10400000,2026011,3656545
10425000,2050710,3672097
10450000,2076449,3681482
10475000,2076016,3681216
10500000,2099558,3702423
10512500,2108150,3716867
10525000,2102493,3702245
10537500,2103073,3705448
10550000,2087425,3687950
10562500,2063927,3645397
10575000,2062769,3665264
10587500,2048584,3653224
10600000,2056398,3673920
10612500,2074942,3691416
10625000,2084651,3690566
10637500,2083580,3692675
10650000,2062564,3665764
10662500,2052118,3651915
10675000,2050335,3688448
10687500,2049137,3692399
10700000,2055287,3704349
10712500,2074586,3722897
10725000,2090407,3747374
10737500,2083133,3750712
10750000,2083341,3754323
10762500,2081591,3763492
10775000,2091868,3771369
10787500,2090676,3764850
10800000,2071290,3748650
10812500,2090185,3769589
10825000,2075436,3768191
10837500,2084117,3776997
10850000,2089344,3775562
10862500,2109099,3797257
10875000,2120991,3809213
10887500,2116794,3803406
10900000,2116494,3831572
10912500,2121050,3837638
10925000,2118509,3845899
10937500,2116937,3844507
10950000,2126397,3852208
10962500,2161366,3871114
10975000,2177570,3891869
10987500,2199171,3886015
11000000,2181307,3873452
11012500,2164191,3865632
11025000,2220621,3898854
11037500,2228843,3906311
11050000,2256634,3924484
11062500,2269510,3934071
11075000,2248774,3936859
11087500,2235457,3938255
11100000,2229187,3901721
11112500,2245749,3923852
11125000,2234756,3934840
11137500,2238281,3943080
11150000,2230014,3942419
11162500,2247462,3993268
11175000,2245339,3997213
11187500,2251235,4012177
11200000,2228716,3989072
11212500,2240498,3990591
11225000,2230489,3985120
11237500,2236812,3994114
11250000,2229679,3990178
11262500,2238247,3976643
11275000,2241104,3989240
11287500,2254234,4000455
11300000,2263756,4011286
11312500,2269964,4018080
11325000,2273627,4031903
11337500,2272887,4025231
11350000,2285921,4038468
11362500,2300839,4054634
11375000,2323284,4066635
11387500,2339626,4082885
11400000,2345901,4079199
11412500,2324889,4069428
11425000,2317893,4069729
11437500,2345858,4095070
11450000,2351152,4102644
11462500,2349818,4100411
11475000,2353116,4098866
11487500,2378990,4107281
11500000,2368844,4112994
11512500,2363885,4106871
11525000,2375891,4116835
11537500,2372556,4107672
11550000,2416665,4136064
11562500,2404271,4123581
11575000,2379672,4085100
11587500,2361445,4074896
11600000,2346531,4066939
11612500,2345047,4075559
11625000,2327316,4066950
11637500,2320314,4061606
11650000,2317069,4083318
11662500,2312011,4083700
11675000,2296431,4073044
11687500,2291716,4066556
11700000,2285532,4061782
11712500,2276618,4050131
11725000,2288429,4059700
11737500,2275372,4051012
11750000,2275001,4042149
11762500,2283273,4040870
11775000,2290155,4043856
11787500,2338368,4092079
11800000,2343326,4097206
11812500,2337980,4091904
11825000,2340775,4098694
11837500,2354090,4105209
11850000,2347865,4111518
11862500,2356282,4119012
11875000,2360334,4128033
11887500,2339038,4126231
11900000,2461897,4187042
11912500,2470236,4196763
11925000,2474498,4205084
11937500,2483035,4222583
11950000,2546027,4249672
11962500,2567765,4266378
11975000,2569310,4291905
11987500,2558779,4278046
12000000,2562489,4263482
12012500,2573851,4262879
12025000,2654731,4299519
12037500,2612752,4282228
12050000,2605778,4283753
12062500,2580346,4267870
12075000,2580240,4270175
12087500,2590350,4281754
12100000,2589922,4292421
12112500,2642225,4327730
12125000,2648732,4337058
12137500,2647940,4349053
12150000,2650899,4358555
12162500,2637880,4363170
12175000,2595410,4327433
12187500,2593734,4324828
12200000,2598104,4326276
12212500,2574952,4323321
12225000,2583540,4357609
12237500,2578847,4357900
12250000,2580780,4351026
12262500,2578285,4347607
12275000,2606033,4361657
12287500,2612576,4367758
12300000,2610860,4369494
12312500,2636680,4398025
12323750,2648845,4402329
12337500,2661058,4399638
12350000,2663889,4399704
12361250,2622916,4393897
12372500,2623096,4393290
12387500,2617605,4397017
12400000,2624228,4406143
12412500,2635274,4416692
12425000,2654410,4421654
12437500,2654948,4420101
12450000,2620537,4413592
12462500,2612471,4402268
12475000,2626696,4399429
12487500,2482896,4211066
12500000,2383358,4163741
12512500,2390551,4105874
12525000,2392955,4113939
12537500,2387143,4105183
12550000,2396290,4104098
12562500,2387793,4094076
12575000,2418118,4117436
12587500,2426833,4124761
12600000,2434563,4124491
12612500,2426611,4116826
12625000,2424971,4121974
12637500,2418919,4144005
12650000,2418918,4145709
12662500,2412319,4154478
12675000,2413048,4158876
12687500,2435115,4155560
12700000,2435747,4162524
12712500,2430919,4156712
12725000,2428146,4151421
12737500,2434119,4156002
12750000,2439219,4171960
12762500,2440278,4172023
12775000,2444051,4179541
12786250,2448248,4184519
12800000,2449928,4187162
12812500,2536246,4219458
12825000,2539303,4227884
12837500,2539359,4225410
12850000,2544834,4233000
12862500,2557371,4243291
12875000,2550904,4251312
12887500,2564395,4258743
12900000,2570254,4272163
12912500,2570898,4281451
12925000,2578636,4286622
12937500,2549709,4263513
12950000,2521048,4242716
12953750,2521205,4245260
12953750,2521205,4245260
12953750,2521205,4245260
13000000,2507115,4263671
13011250,2510449,4264637
13025000,2516267,4265446
13037500,2512717,4268866
13050000,2507881,4270358
13062500,2509844,4269155
13075000,2514803,4275936
13087500,2518171,4280337
13100000,2535238,4290813
13112500,2547604,4275440
13125000,2547422,4278774
13125000,2547422,4278774
13125000,2547422,4278774
13162500,2574728,4286450
13175000,2587955,4304053
13187500,2598323,4309594
13200000,2616777,4326080
13212500,2631892,4342353
13225000,2630243,4346747
13237500,2630317,4356225
13250000,2625256,4355660
13262500,2628526,4356903
13273750,2629602,4361425
13287500,2623811,4364653
13300000,2651535,4381576
13311250,2645214,4376271
13325000,2654061,4382405
13337500,2655697,4388803
13350000,2674140,4428334
13361250,2687331,4445450
13363750,2688874,4442579
13386250,2687317,4444782
13400000,2687218,4440678
13412500,2704003,4445956
13425000,2698379,4452028
13437500,2697524,4443902
13442500,2693130,4439183
13442500,2693130,4439183
13442500,2693130,4439183
13442500,2693130,4439183
13498750,2733353,4437629
13506250,2731347,4443028
13506250,2731347,4443028
13506250,2731347,4443028
13542500,2757808,4469447
13542500,2757808,4469447
13542500,2757808,4469447
13542500,2757808,4469447
13542500,2757808,4469447
13542500,2757808,4469447
13542500,2757808,4469447
13542500,2757808,4469447
13542500,2757808,4469447
13542500,2757808,4469447
13542500,2757808,4469447
13542500,2757808,4469447
13700000,2885718,4587628
13711250,2861119,4544730
13721250,2882129,4568402
13736250,2875298,4584784
13750000,2935569,4628618
13762500,2937505,4623107
13773750,2899797,4610841
13785000,2892566,4595342
13800000,2886720,4587545
13812500,2884598,4579128
13823750,2884432,4575505
13837500,2895473,4593897
13850000,2899109,4590623
13853750,2902149,4593578
13853750,2902149,4593578
13887500,2899006,4621812
13893750,2897717,4618982
13893750,2897717,4618982
13923750,2805153,4498409
13937500,2794206,4477991
13948750,2789489,4465832
13958750,2799606,4474978
13958750,2799606,4474978
13986250,2809241,4501245
13997500,2822228,4503974
14011250,2805698,4503616
14018750,2806049,4506598
14036250,2817163,4509217
14046250,2822361,4521525
14061250,2844810,4527262
